0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,First round,First round,First round,,,Quarter-finals,Quarter-finals,Quarter-finals,,,Regional semifinals,Regional semifinals,Regional semifinals,,,Regional Finals,Regional Finals,Regional Finals,
,,,,,,,,,,,,,,,,,,,
,1,Oklahoma,71,,,,,,,,,,,,,,,,
,1,Oklahoma,71,,,,,,,,,,,,,,,,
,16,South Carolina State,54,,,,,,,,,,,,,,,,
,16,South Carolina State,54,,,1,Oklahoma,74,,,,,,,,,,,
,Oklahoma City - Thu/Sat,Oklahoma City - Thu/Sat,Oklahoma City - Thu/Sat,,,1,Oklahoma,74,,,,,,,,,,,
,Oklahoma City - Thu/Sat,Oklahoma City - Thu/Sat,Oklahoma City - Thu/Sat,,,8,California,65,,,,,,,,,,,
,8,California,76OT,,,8,California,65,,,,,,,,,,,
,8,California,76OT,,,,,,,,,,,,,,,,
,9,NC State,74,,,,,,,,,,,,,,,,
,9,NC State,74,,,,,,,,1,Oklahoma,65,,,,,,
,,,,,,,,,,,1,Oklahoma,65,,,,,,
,,,,,,,,,,,12,Butler,54,,,,,,
,5,Mississippi St,46,,,,,,,,12,Butler,54,,,,,,
,5,Mississippi St,46,,,,,,,,,,,,,,,,
,12,Butler,47,,,,,,,,,,,,,,,,
,12,Butler,47,,,12,Butler,79,,,,,,,,,,,
,Birmingham - Fri/Sun,Birmingham - Fri/Sun,Birmingham - Fri/Sun,,,12,Butler,79,,,,,,,,,,,
,Birmingham - Fri/Sun,Birmingham - Fri/Sun,Birmingham - Fri/Sun,,,4,Louisville,71,,,,,,,,,,,
,4,Louisville,86,,,4,Louisville,71,,,,,,,,,,,
,4,Louisville,86,,,,,,,,,,,,,,,,
,13,Austin Peay,64,,,,,,,,,,,,,,,,
,13,Austin Peay,64,,,,,,,,,,,,,1,Oklahoma,47,
,,,,,,,,,,,,,,,,1,Oklahoma,47,
,,,,,,,,,,,,,,,,3,Syracuse,63,
,6,Oklahoma State,77,,,,,,,,,,,,,3,Syracuse,63,
,6,Oklahoma State,77,,,,,,,,,,,,,,,,
,11,Pennsylvania,63,,,,,,,,,,,,,,,,
,11,Pennsylvania,63,,,6,Oklahoma State,56,,,,,,,,,,,
,Boston - Fri/Sun,Boston - Fri/Sun,Boston - Fri/Sun,,,6,Oklahoma State,56,,,,,,,,,,,
,Boston - Fri/Sun,Boston - Fri/Sun,Boston - Fri/Sun,,,3,Syracuse,68,,,,,,,,,,,
,3,Syracuse,76,,,3,Syracuse,68,,,,,,,,,,,
,3,Syracuse,76,,,,,,,,,,,,,,,,
,14,Manhattan,65,,,,,,,,,,,,,,,,
,14,Manhattan,65,,,,,,,,3,Syracuse,79,,,,,,
,,,,,,,,,,,3,Syracuse,79,,,,,,
,,,,,,,,,,,10,Auburn,78,,,,,,
,7,Saint Joseph's,63,,,,,,,,10,Auburn,78,,,,,,
,7,Saint Joseph's,63,,,,,,,,,,,,,,,,
,10,Auburn,65OT,,,,,,,,,,,,,,,,
,10,Auburn,65OT,,,10,Auburn,68,,,,,,,,,,,
,Tampa - Fri/Sun,Tampa - Fri/Sun,Tampa - Fri/Sun,,,10,Auburn,68,,,,,,,,,,,
,Tampa - Fri/Sun,Tampa - Fri/Sun,Tampa - Fri/Sun,,,2,Wake Forest,62,,,,,,,,,,,
,2,Wake Forest,76,,,2,Wake Forest,62,,,,,,,,,,,
,2,Wake Forest,76,,,,,,,,,,,,,,,,
,15,East Tennessee State,73,,,,,,,,,,,,,,,,
15.0,East Tennessee State,73,,,,,,,,,,,,,,,,,
