Region,Round,Matchup,Score
East,First Round,(1) Virginia vs. (16) Coastal Carolina,70–59
East,First Round,(8) Memphis vs. (9) George Washington,71–66
East,First Round,(5) Cincinnati vs. (12) Harvard,57–61
East,First Round,(4) Michigan State vs. (13) Delaware,93–78
East,First Round,(6) North Carolina vs. (11) Providence,79–77
East,First Round,(3) Iowa State vs. (14) North Carolina Central,93–75
East,First Round,(7) Connecticut vs. (10) Saint Joseph's,89–81 (OT)
East,First Round,(2) Villanova vs. (15) Milwaukee,73–53
East,Second Round,(1) Virginia vs. (8) Memphis,78–60
East,Second Round,(4) Michigan State vs. (12) Harvard,80–73
East,Second Round,(3) Iowa State vs. (6) North Carolina,85–83
East,Second Round,(7) Connecticut vs. (2) Villanova,77–65
East,Sweet 16,(4) Michigan State vs. (1) Virginia,61–59
East,Sweet 16,(7) Connecticut vs. (3) Iowa State,81–76
East,Elite 8,(7) Connecticut vs. (4) Michigan State,60–54
West,First Round,(1) Arizona vs. (16) Weber State,68–59
West,First Round,(8) Gonzaga vs. (9) Oklahoma State,85–77
West,First Round,(5) Oklahoma vs. (12) North Dakota State,80–83 (OT)
West,First Round,(4) San Diego State vs. (13) New Mexico State,73–69 (OT)
West,First Round,(6) Baylor vs. (11) Nebraska,74–60
West,First Round,(3) Creighton vs. (14) Louisiana,76–66
West,First Round,(7) Oregon vs. (10) BYU,87–68
West,First Round,(2) Wisconsin vs. (15) American,75–35
West,Second Round,(1) Arizona vs. (8) Gonzaga,84–61
West,Second Round,(4) San Diego State vs. (12) North Dakota State,63–44
West,Second Round,(6) Baylor vs. (3) Creighton,85–55
West,Second Round,(2) Wisconsin vs. (7) Oregon,85–77
West,Sweet 16,(1) Arizona vs. (4) San Diego State,70–64
West,Sweet 16,(2) Wisconsin vs. (6) Baylor,69–52
West,Elite 8,(2) Wisconsin vs. (1) Arizona,64–63 (OT)
Midwest,First Round,(1) Wichita State vs. (16) Cal Poly,64–37
Midwest,First Round,(8) Kentucky vs. (9) Kansas State,56–49
Midwest,First Round,(5) Saint Louis vs. (12) NC State,83–80 (OT)
Midwest,First Round,(4) Louisville vs. (13) Manhattan,71–64
Midwest,First Round,(6) Massachusetts vs. (11) Tennessee,67–86
Midwest,First Round,(3) Duke vs. (14) Mercer,71–78
Midwest,First Round,(7) Texas vs. (10) Arizona State,87–85
Midwest,First Round,(2) Michigan vs. (15) Wofford,57–40
Midwest,Second Round,(8) Kentucky vs. (1) Wichita State,78–76
Midwest,Second Round,(4) Louisville vs. (5) Saint Louis,66–51
Midwest,Second Round,(11) Tennessee vs. (14) Mercer,83–63
Midwest,Second Round,(2) Michigan vs. (7) Texas,79–65
Midwest,Sweet 16,(8) Kentucky vs. (4) Louisville,74–69
Midwest,Sweet 16,(2) Michigan vs. (11) Tennessee,73–71
Midwest,Elite 8,(8) Kentucky vs. (2) Michigan,75–72
South,First Round,(1) Florida vs. (16) Albany,67–55
South,First Round,(8) Colorado vs. (9) Pittsburgh,48–77
South,First Round,(5) VCU vs. (12) Stephen F. Austin,75–77 (OT)
South,First Round,(4) UCLA vs. (13) Tulsa,76–59
South,First Round,(6) Ohio State vs. (11) Dayton,59–60
South,First Round,(3) Syracuse vs. (14) Western Michigan,77–53
South,First Round,(7) New Mexico vs. (10) Stanford,53–58
South,First Round,(2) Kansas vs. (15) Eastern Kentucky,80–69
South,Second Round,(1) Florida vs. (9) Pittsburgh,61–45
South,Second Round,(4) UCLA vs. (12) Stephen F. Austin,77–60
South,Second Round,(10) Stanford vs. (2) Kansas,60–57
South,Second Round,(11) Dayton vs. (3) Syracuse,55–53
South,Sweet 16,(1) Florida vs. (4) UCLA,79–68
South,Sweet 16,(11) Dayton vs. (10) Stanford,82–72
South,Elite 8,(1) Florida vs. (11) Dayton,62–52
Final Four,National Semifinal,(7) Connecticut vs. (1) Florida,63–53
Final Four,National Semifinal,(8) Kentucky vs. (2) Wisconsin,74–73
Final Four,National Championship,(7) Connecticut vs. (8) Kentucky,60–54
