2017_March_Madness_Full_Results_With_Final4
Region,Round,Matchup,Score
East,First Round,(1) Villanova vs. (16) Mount St. Mary's,76–56
East,First Round,(8) Wisconsin vs. (9) Virginia Tech,84–74
East,First Round,(5) Virginia vs. (12) UNC Wilmington,76–71
East,First Round,(4) Florida vs. (13) East Tennessee State,80–65
East,First Round,(6) SMU vs. (11) USC,65–66
East,First Round,(3) Baylor vs. (14) New Mexico State,91–73
East,First Round,(7) South Carolina vs. (10) Marquette,93–73
East,First Round,(2) Duke vs. (15) Troy,87–65
East,Second Round,(8) Wisconsin vs. (1) Villanova,65–62
East,Second Round,(4) Florida vs. (5) Virginia,65–39
East,Second Round,(3) Baylor vs. (11) USC,82–78
East,Second Round,(7) South Carolina vs. (2) Duke,88–81
East,Sweet 16,(4) Florida vs. (8) Wisconsin,84–83
East,Sweet 16,(7) South Carolina vs. (3) Baylor,70–50
East,Elite 8,(7) South Carolina vs. (4) Florida,77–70
West,First Round,(1) Gonzaga vs. (16) South Dakota State,66–46
West,First Round,(8) Northwestern vs. (9) Vanderbilt,68–66
West,First Round,(5) Notre Dame vs. (12) Princeton,60–58
West,First Round,(4) West Virginia vs. (13) Bucknell,86–80
West,First Round,(6) Maryland vs. (11) Xavier,65–76
West,First Round,(3) Florida State vs. (14) Florida Gulf Coast,86–80
West,First Round,(7) Saint Mary's vs. (10) VCU,85–77
West,First Round,(2) Arizona vs. (15) North Dakota,100–82
West,Second Round,(1) Gonzaga vs. (8) Northwestern,79–73
West,Second Round,(4) West Virginia vs. (5) Notre Dame,83–71
West,Second Round,(11) Xavier vs. (3) Florida State,91–66
West,Second Round,(2) Arizona vs. (7) Saint Mary's,69–60
West,Sweet 16,(1) Gonzaga vs. (4) West Virginia,61–58
West,Sweet 16,(11) Xavier vs. (2) Arizona,73–71
West,Elite 8,(1) Gonzaga vs. (11) Xavier,83–59
Midwest,First Round,(1) Kansas vs. (16) UC Davis,100–62
Midwest,First Round,(8) Miami vs. (9) Michigan State,58–78
Midwest,First Round,(5) Iowa State vs. (12) Nevada,84–73
Midwest,First Round,(4) Purdue vs. (13) Vermont,80–70
Midwest,First Round,(6) Creighton vs. (11) Rhode Island,72–84
Midwest,First Round,(3) Oregon vs. (14) Iona,93–77
Midwest,First Round,(7) Michigan vs. (10) Oklahoma State,92–91
Midwest,First Round,(2) Louisville vs. (15) Jacksonville State,78–63
Midwest,Second Round,(1) Kansas vs. (9) Michigan State,90–70
Midwest,Second Round,(4) Purdue vs. (5) Iowa State,80–76
Midwest,Second Round,(3) Oregon vs. (11) Rhode Island,75–72
Midwest,Second Round,(7) Michigan vs. (2) Louisville,73–69
Midwest,Sweet 16,(1) Kansas vs. (4) Purdue,98–66
Midwest,Sweet 16,(3) Oregon vs. (7) Michigan,69–68
Midwest,Elite 8,(3) Oregon vs. (1) Kansas,74–60
South,First Round,(1) North Carolina vs. (16) Texas Southern,103–64
South,First Round,(8) Arkansas vs. (9) Seton Hall,77–71
South,First Round,(5) Minnesota vs. (12) Middle Tennessee,72–81
South,First Round,(4) Butler vs. (13) Winthrop,76–64
South,First Round,(6) Cincinnati vs. (11) Kansas State,75–61
South,First Round,(3) UCLA vs. (14) Kent State,97–80
South,First Round,(7) Dayton vs. (10) Wichita State,58-64
South,First Round,(2) Kentucky vs. (15) Northern Kentucky,79–70
South,Second Round,(1) North Carolina vs. (8) Arkansas,72–65
South,Second Round,(4) Butler vs. (12) Middle Tennessee,74–65
South,Second Round,(3) UCLA vs. (6) Cincinnati,79–67
South,Second Round,(2) Kentucky vs. (10) Wichita State,65–62
South,Sweet 16,(1) North Carolina vs. (4) Butler,92–80
South,Sweet 16,(2) Kentucky vs. (3) UCLA,86–75
South,Elite 8,(1) North Carolina vs. (2) Kentucky,75–73
Final Four,National Semifinal,(1) Gonzaga vs. (7) South Carolina,77–73
Final Four,National Semifinal,(1) North Carolina vs. (3) Oregon,77–76
Final Four,National Championship,(1) North Carolina vs. (1) Gonzaga,71–65
